State_city,Mapping
"TN,MEMPHIS",530
"TN,NASHVILLE",531
"TX,ABILENE",532
"TX,AMARILLO",533
"TX,AUSTIN",534
"TX,BEAUMONT",535
"TX,BROWNWOOD",536
"TX,BRYAN",537
"TX,CHILDRESS",538
"TX,CORPUS CHRISTI",539
"TX,DALLAS",540
"TX,DEL RIO",541
"TX,DENTON",542
"TX,EASTLAND",543
"TX,EL PASO",544
"TX,FORT WORTH",545
"TX,GALVESTON",546
"TX,GIDDINGS",547
"TX,GREENVILLE",548
"TX,HOUSTON",549
"TX,HUNTSVILLE",550
"TX,LAREDO",551
"TX,LONGVIEW",552
"TX,LUBBOCK",553
"TX,LUFKIN",554
"TX,MCALLEN",555
"TX,MCKINNEY",556
"TX,MIDLAND",557
"TX,PALESTINE",558
"TX,SAN ANGELO",559
"TX,SAN ANTONIO",560
"TX,TEMPLE",561
"TX,TEXARKANA",562
"TX,TYLER",563
"TX,VICTORIA",564
"TX,WACO",565
"TX,WAXAHACHIE",566
"TX,WHARTON",567
"TX,WICHITA FALLS",568
"UT,LOGAN",569
"UT,OGDEN",570
"UT,PRICE",571
"UT,PROVO",572
"UT,SALT LAKE CITY",573
"VT,BELLOWS FALLS",574
"VT,BENNINGTON",575
"VT,BRATTLEBORO",576
"VT,BURLINGTON",577
"VT,GUILDHALL",578
"VT,MONTPELIER",579
"VT,RUTLAND",580
"VT,ST. JOHNSBURY",581
"VT,WHITE RIVER JCT.",582
"VA,ALEXANDRIA",583
"VA,ARLINGTON",584
"VA,BRISTOL",585
"VA,CHARLOTTESVILLE",586
"VA,CULPEPER",587
"VA,FAIRFAX",588
"VA,FARMVILLE",589
"VA,FREDERICKSBURG",590
"VA,GRUNDY",591
"VA,HARRISONBURG",592
"VA,LYNCHBURG",593
"VA,NEWPORT NEWS",594
"VA,NORFOLK",595
"VA,PETERSBURG",596
"VA,PORTSMOUTH",597
"VA,PULASKI",598
"VA,RICHMOND",599
"VA,ROANOKE",600
"VA,STAUNTON",601
"VA,WINCHESTER",602
"WA,CLARKSTON",603
"WA,EVERETT",604
"WA,OLYMPIA",605
"WA,RICHLAND",606
"WA,SEATTLE",607
"WA,SPOKANE",608
"WA,TACOMA",609
"WA,VANCOUVER",610
"WA,WENATCHEE",611
"WA,YAKIMA",612
"WV,BECKLEY",613
"WV,BLUEFIELD",614
"WV,BUCKHANNON",615
"WV,CHARLESTON",616
"WV,CLARKSBURG",617
"WV,GASSAWAY",618
"WV,HUNTINGTON",619
"WV,LEWISBURG",620
"WV,MARTINSBURG",621
