state_city,mean_value
572,155.4079733024864
573,158.93977587759366
574,159.90526943982542
575,164.13859562008292
576,161.70797330248638
577,164.4494110707267
578,163.00108489046923
579,158.701900341113
580,163.9964282381087
581,161.49544111364517
582,159.3751621436881
583,159.37707201493274
584,162.98445398918165
585,161.87187888188552
586,153.32290892480398
587,157.19080592051213
588,158.79823081321598
589,160.83220077029753
590,153.57797330248638
591,158.07973295913877
592,152.09381021235762
593,158.58518360291555
594,156.97501192909584
595,156.7942823153619
596,157.76966858145633
597,157.29833810935332
598,155.4949690106409
599,153.88953982609152
600,158.19730806643486
601,157.2722436887525
602,154.109239396907
603,156.98563424669237
604,156.60941107072674
605,171.95885313081254
