,Unnamed: 0,zpid,price,bedrooms,bathrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,half_bathroom,lot_area,home_type
35,35,22149276,475000,5,5.0,5110,36.187386,"""2250 N Main St""","""74106""",https://www.zillow.com/homedetails/2250-N-Main-St-Tulsa-OK-74106/22149276_zpid/,-95.997116,1.0,9278.28, SingleFamily
36,36,22150398,375000,5,5.0,2488,36.146088,"""1153 S Quaker Ave""","""74120""",https://www.zillow.com/homedetails/1153-S-Quaker-Ave-Tulsa-OK-74120/22150398_zpid/,-95.97427,1.0,7405.2, SingleFamily
37,37,89356370,625000,5,4.0,4380,36.00736,"""10906 S 91st Ave E""","""74133""",https://www.zillow.com/homedetails/10906-S-91st-Ave-E-Tulsa-OK-74133/89356370_zpid/,-95.87721,0.0,10236.6, SingleFamily
38,38,2057634735,1375000,5,6.0,6661,36.064342,"""3307 W 68th St S""","""74132""",https://www.zillow.com/homedetails/3307-W-68th-St-S-Tulsa-OK-74132/2057634735_zpid/,-96.03157,1.0,, SingleFamily
39,39,22153731,359000,5,3.0,2846,36.061665,"""6926 S 73rd East Ave""","""74133""",https://www.zillow.com/homedetails/6926-S-73rd-East-Ave-Tulsa-OK-74133/22153731_zpid/,-95.896416,0.0,10236.6, SingleFamily
0,0,22101697,225000,5,3.0,2106,36.091057,"""5004 S Troost Ave""","""74105""",https://www.zillow.com/homedetails/5004-S-Troost-Ave-Tulsa-OK-74105/22101697_zpid/,-95.96785,1.0,11717.639999999998, SingleFamily
1,1,2057892613,520000,5,4.0,4341,36.1367,"""1802 S 151st Ave E""","""74108""",https://www.zillow.com/homedetails/1802-S-151st-Ave-E-Tulsa-OK-74108/2057892613_zpid/,-95.809235,2.0,193798.44, SingleFamily
2,2,22220211,1250000,5,6.0,6027,36.010654,"""4930 E 105th St S""","""74137""",https://www.zillow.com/homedetails/4930-E-105th-St-S-Tulsa-OK-74137/22220211_zpid/,-95.92095,2.0,45149.0, SingleFamily
3,3,2078829250,358900,5,3.0,2790,36.06158,"""6926 S 73rd Ave E""","""74133""",https://www.zillow.com/homedetails/6926-S-73rd-Ave-E-Tulsa-OK-74133/2078829250_zpid/,-95.89636,0.0,10249.0, SingleFamily
4,4,22177726,1150000,5,4.0,4416,36.127632,"""1331 E 26th St""","""74114""",https://www.zillow.com/homedetails/1331-E-26th-St-Tulsa-OK-74114/22177726_zpid/,-95.97413,1.0,16030.08, SingleFamily
5,5,63128465,460000,5,4.0,3712,36.027637,"""9321 S 74th Ave E""","""74133""",https://www.zillow.com/homedetails/9321-S-74th-Ave-E-Tulsa-OK-74133/63128465_zpid/,-95.89272,0.0,8450.64, SingleFamily
6,6,22176570,1500000,5,6.0,5654,36.114433,"""2622 E 33rd Pl""","""74105""",https://www.zillow.com/homedetails/2622-E-33rd-Pl-Tulsa-OK-74105/22176570_zpid/,-95.95208,1.0,33062.04, SingleFamily
7,7,22157965,1350000,5,5.0,4826,36.09926,"""4441 S Atlanta Pl""","""74105""",https://www.zillow.com/homedetails/4441-S-Atlanta-Pl-Tulsa-OK-74105/22157965_zpid/,-95.95439,1.0,45738.0, SingleFamily
8,8,22234236,470000,5,4.0,4061,36.04258,"""8303 S 69th Ave E""","""74133""",https://www.zillow.com/homedetails/8303-S-69th-Ave-E-Tulsa-OK-74133/22234236_zpid/,-95.89876,1.0,10933.56, SingleFamily
9,9,22223400,411000,5,3.0,3065,36.02073,"""5213 E 99th St S""","""74137""",https://www.zillow.com/homedetails/5213-E-99th-St-S-Tulsa-OK-74137/22223400_zpid/,-95.91873,1.0,9670.32, SingleFamily
10,10,89226223,470000,5,4.0,3582,36.09403,"""4823 S 162nd Ave E""","""74134""",https://www.zillow.com/homedetails/4823-S-162nd-Ave-E-Tulsa-OK-74134/89226223_zpid/,-95.796425,0.0,12196.8, SingleFamily
11,11,2058166366,389900,5,3.0,3811,36.059097,"""4130 E 72nd St""","""74136""",https://www.zillow.com/homedetails/4130-E-72nd-St-Tulsa-OK-74136/2058166366_zpid/,-95.92962,0.0,17424.0, SingleFamily
12,12,22226233,450000,5,5.0,4415,36.006287,"""5605 E 109th St""","""74137""",https://www.zillow.com/homedetails/5605-E-109th-St-Tulsa-OK-74137/22226233_zpid/,-95.91339,,11761.000000000002, SingleFamily
13,13,22227559,429000,5,5.0,3846,36.055946,"""7421 S Marion Ave""","""74136""",https://www.zillow.com/homedetails/7421-S-Marion-Ave-Tulsa-OK-74136/22227559_zpid/,-95.93381,1.0,5488.56, SingleFamily
14,14,333520037,572000,5,4.0,3333,35.996704,"""3618 E 115th Pl S""","""74137""",https://www.zillow.com/homedetails/3618-E-115th-Pl-S-Tulsa-OK-74137/333520037_zpid/,-95.93642,1.0,16552.8, SingleFamily
15,15,22234528,430000,5,4.0,3456,36.0454,"""8128 S 70th East Pl""","""74133""",https://www.zillow.com/homedetails/8128-S-70th-East-Pl-Tulsa-OK-74133/22234528_zpid/,-95.898476,1.0,9452.52, SingleFamily
16,16,2055678028,430000,5,4.0,3456,36.04539,"""8128 S 70th Pl E""","""74133""",https://www.zillow.com/homedetails/8128-S-70th-Pl-E-Tulsa-OK-74133/2055678028_zpid/,-95.89842,1.0,10846.44, SingleFamily
17,17,22171505,4500,5,3.0,3220,36.195812,"""2820 N Garrison Pl""","""74106""",https://www.zillow.com/homedetails/2820-N-Garrison-Pl-Tulsa-OK-74106/22171505_zpid/,-95.985985,1.0,7579.44, SingleFamily
18,18,124774692,540550,5,4.0,3333,36.10016,"""4388 S 173rd Ave E""","""74134""",https://www.zillow.com/homedetails/4388-S-173rd-Ave-E-Tulsa-OK-74134/124774692_zpid/,-95.78483,1.0,8145.72, SingleFamily
19,19,22189487,309000,5,4.0,2928,36.07786,"""5920 S 72nd Ave E""","""74145""",https://www.zillow.com/homedetails/5920-S-72nd-Ave-E-Tulsa-OK-74145/22189487_zpid/,-95.896255,0.0,10062.36, SingleFamily
20,20,22131526,306000,5,2.0,2753,36.05809,"""7312 S 69th East Pl""","""74133""",https://www.zillow.com/homedetails/7312-S-69th-East-Pl-Tulsa-OK-74133/22131526_zpid/,-95.899765,0.0,10249.0, SingleFamily
21,21,22232522,285000,5,3.0,2809,36.065514,"""9040 E 67th Pl""","""74133""",https://www.zillow.com/homedetails/9040-E-67th-Pl-Tulsa-OK-74133/22232522_zpid/,-95.87665,0.0,8855.0, SingleFamily
22,22,22163081,499000,5,5.0,3827,36.079575,"""3919 E 58th Pl""","""74135""",https://www.zillow.com/homedetails/3919-E-58th-Pl-Tulsa-OK-74135/22163081_zpid/,-95.93193,1.0,7535.88, SingleFamily
23,23,89226199,559500,5,4.0,3676,36.05047,"""670 W 78th St""","""74132""",https://www.zillow.com/homedetails/670-W-78th-St-Tulsa-OK-74132/89226199_zpid/,-96.000984,0.0,10628.64, SingleFamily
24,24,2099389865,477000,5,4.0,3106,36.09814,"""4515 S 187th East Pl""","""74134""",https://www.zillow.com/homedetails/4515-S-187th-East-Pl-Tulsa-OK-74134/2099389865_zpid/,-95.76733,1.0,8276.0, SingleFamily
25,25,22220083,722000,5,4.0,4047,36.012604,"""3536 E 104th St""","""74137""",https://www.zillow.com/homedetails/3536-E-104th-St-Tulsa-OK-74137/22220083_zpid/,-95.938126,1.0,10105.92, SingleFamily
26,26,89343898,399900,5,3.0,2998,36.101746,"""17534 E 43rd St""","""74134""",https://www.zillow.com/homedetails/17534-E-43rd-St-Tulsa-OK-74134/89343898_zpid/,-95.78072,0.0,7797.24, SingleFamily
27,27,89362574,570000,5,4.0,3671,36.051903,"""7720 S Galveston Ave""","""74132""",https://www.zillow.com/homedetails/7720-S-Galveston-Ave-Tulsa-OK-74132/89362574_zpid/,-95.99941,0.0,9234.72, SingleFamily
28,28,89359008,333000,5,3.0,2307,36.09405,"""4729 S 179th Ave E""","""74134""",https://www.zillow.com/homedetails/4729-S-179th-Ave-E-Tulsa-OK-74134/89359008_zpid/,-95.77671,1.0,6926.04, SingleFamily
